initial_board,h0_success,h0_moves,h0_search_count,h1_success,h1_moves,h1_search_count,h2_success,h2_moves,h2_search_count,ids_success,ids_moves,ids_search_count
"(2, 3, 0, 1, 5, 6, 4, 7, 8)",TRUE,6,32,TRUE,6,6,TRUE,6,7,TRUE,6,103
"(1, 2, 0, 4, 8, 3, 7, 6, 5)",TRUE,6,51,TRUE,6,9,TRUE,6,6,TRUE,6,64
"(4, 0, 3, 2, 1, 6, 7, 5, 8)",TRUE,7,84,TRUE,7,12,TRUE,7,13,TRUE,7,150
"(2, 4, 3, 0, 1, 6, 7, 5, 8)",TRUE,7,94,TRUE,7,12,TRUE,7,13,TRUE,7,188
"(1, 6, 2, 0, 4, 3, 7, 5, 8)",TRUE,7,87,TRUE,7,11,TRUE,7,11,TRUE,7,196
"(2, 5, 3, 1, 7, 6, 4, 0, 8)",TRUE,7,72,TRUE,7,9,TRUE,7,13,TRUE,7,133
"(2, 4, 3, 1, 5, 6, 0, 7, 8)",TRUE,8,99,TRUE,8,15,TRUE,8,16,TRUE,8,288
"(4, 1, 2, 7, 5, 3, 8, 6, 0)",TRUE,8,143,TRUE,8,9,TRUE,8,11,TRUE,8,341
"(2, 3, 6, 1, 5, 8, 4, 7, 0)",TRUE,8,149,TRUE,8,9,TRUE,8,10,TRUE,8,222
"(0, 1, 5, 4, 3, 2, 7, 8, 6)",TRUE,8,119,TRUE,8,18,TRUE,8,16,TRUE,8,321
"(0, 1, 3, 4, 2, 8, 7, 6, 5)",TRUE,8,110,TRUE,8,18,TRUE,8,11,TRUE,8,296
"(1, 2, 3, 5, 6, 8, 0, 4, 7)",TRUE,8,150,TRUE,8,18,TRUE,8,8,TRUE,8,357
"(2, 4, 0, 1, 6, 3, 7, 5, 8)",TRUE,8,94,TRUE,8,15,TRUE,8,14,TRUE,8,235
"(1, 2, 3, 5, 0, 8, 4, 6, 7)",TRUE,8,152,TRUE,8,25,TRUE,8,11,TRUE,8,385
"(1, 2, 0, 8, 5, 3, 4, 7, 6)",TRUE,8,135,TRUE,8,15,TRUE,8,12,TRUE,8,276
"(5, 2, 3, 1, 4, 0, 7, 8, 6)",TRUE,9,288,TRUE,9,35,TRUE,9,34,TRUE,9,495
"(4, 1, 6, 0, 3, 2, 7, 5, 8)",TRUE,9,285,TRUE,9,25,TRUE,9,19,TRUE,9,467
"(2, 0, 6, 1, 3, 5, 4, 7, 8)",TRUE,9,267,TRUE,9,23,TRUE,9,18,TRUE,9,555
"(2, 0, 5, 1, 6, 3, 4, 7, 8)",TRUE,9,204,TRUE,9,19,TRUE,9,14,TRUE,9,699
"(4, 1, 3, 2, 8, 0, 7, 6, 5)",TRUE,9,225,TRUE,9,25,TRUE,9,14,TRUE,9,532
"(1, 3, 5, 4, 8, 0, 7, 6, 2)",TRUE,9,213,TRUE,9,35,TRUE,9,13,TRUE,9,549
"(1, 3, 6, 0, 2, 8, 4, 7, 5)",TRUE,9,241,TRUE,9,19,TRUE,9,9,TRUE,9,565
"(1, 3, 5, 4, 8, 0, 7, 6, 2)",TRUE,9,213,TRUE,9,35,TRUE,9,13,TRUE,9,549
"(1, 3, 6, 5, 7, 2, 0, 4, 8)",TRUE,10,360,TRUE,10,31,TRUE,10,21,TRUE,10,1016
"(1, 5, 0, 8, 3, 2, 4, 7, 6)",TRUE,10,278,TRUE,10,32,TRUE,10,19,TRUE,10,876
"(2, 3, 6, 1, 0, 8, 4, 5, 7)",TRUE,10,414,TRUE,10,37,TRUE,10,15,TRUE,10,1131
"(0, 4, 3, 7, 1, 5, 8, 2, 6)",TRUE,10,295,TRUE,10,32,TRUE,10,16,TRUE,10,905
"(1, 2, 3, 6, 7, 8, 4, 5, 0)",TRUE,10,413,TRUE,10,39,TRUE,10,20,TRUE,10,1001
"(0, 1, 2, 7, 4, 3, 8, 6, 5)",TRUE,10,283,TRUE,10,30,TRUE,10,10,TRUE,10,1083
"(0, 5, 2, 1, 7, 3, 8, 4, 6)",TRUE,10,312,TRUE,10,29,TRUE,10,20,TRUE,10,805
"(5, 1, 3, 4, 2, 6, 7, 8, 0)",TRUE,10,331,TRUE,10,51,TRUE,10,50,TRUE,10,1070
"(0, 3, 6, 2, 1, 5, 4, 7, 8)",TRUE,10,289,TRUE,10,27,TRUE,10,22,TRUE,10,864
"(5, 2, 0, 1, 8, 3, 4, 7, 6)",TRUE,10,269,TRUE,10,33,TRUE,10,21,TRUE,10,1065
"(4, 2, 3, 5, 1, 6, 7, 8, 0)",TRUE,10,307,TRUE,10,46,TRUE,10,60,TRUE,10,683
"(4, 3, 5, 2, 1, 6, 7, 8, 0)",TRUE,10,403,TRUE,10,35,TRUE,10,18,TRUE,10,681
"(1, 3, 5, 2, 0, 6, 4, 7, 8)",TRUE,10,458,TRUE,10,34,TRUE,10,21,TRUE,10,1330
"(5, 2, 3, 1, 0, 4, 7, 8, 6)",TRUE,10,348,TRUE,10,59,TRUE,10,50,TRUE,10,1419
"(1, 2, 3, 8, 0, 6, 4, 5, 7)",TRUE,10,488,TRUE,10,61,TRUE,10,32,TRUE,10,1185
"(1, 5, 2, 7, 4, 8, 0, 6, 3)",TRUE,10,278,TRUE,10,35,TRUE,10,18,TRUE,10,876
"(4, 3, 6, 2, 1, 8, 7, 5, 0)",TRUE,10,359,TRUE,10,32,TRUE,10,19,TRUE,10,679
"(2, 7, 3, 1, 0, 5, 8, 4, 6)",TRUE,10,513,TRUE,10,42,TRUE,10,21,TRUE,10,921
"(0, 1, 2, 7, 4, 3, 8, 6, 5)",TRUE,10,283,TRUE,10,30,TRUE,10,10,TRUE,10,1083
"(6, 0, 2, 1, 5, 3, 4, 7, 8)",TRUE,11,591,TRUE,11,61,TRUE,11,31,TRUE,11,1828
"(4, 0, 1, 7, 3, 2, 8, 5, 6)",TRUE,11,553,TRUE,11,51,TRUE,11,23,TRUE,11,2196
"(7, 4, 2, 0, 1, 3, 8, 5, 6)",TRUE,11,727,TRUE,11,53,TRUE,11,36,TRUE,11,1337
"(2, 3, 6, 0, 7, 5, 1, 4, 8)",TRUE,11,763,TRUE,11,51,TRUE,11,28,TRUE,11,1697
"(2, 3, 6, 0, 5, 8, 1, 4, 7)",TRUE,11,495,TRUE,11,33,TRUE,11,18,TRUE,11,1751
"(5, 1, 3, 2, 6, 8, 4, 0, 7)",TRUE,11,607,TRUE,11,55,TRUE,11,18,TRUE,11,2252
"(2, 7, 3, 0, 1, 6, 5, 4, 8)",TRUE,11,527,TRUE,11,61,TRUE,11,31,TRUE,11,1824
"(7, 1, 2, 0, 4, 3, 8, 6, 5)",TRUE,11,667,TRUE,11,47,TRUE,11,23,TRUE,11,1513
"(1, 5, 6, 4, 3, 0, 7, 2, 8)",TRUE,11,608,TRUE,11,74,TRUE,11,38,TRUE,11,1361
"(1, 0, 5, 7, 3, 2, 8, 4, 6)",TRUE,11,600,TRUE,11,60,TRUE,11,36,TRUE,11,1395
"(1, 2, 3, 0, 8, 6, 4, 5, 7)",TRUE,11,733,TRUE,11,74,TRUE,11,48,TRUE,11,2128
"(2, 0, 3, 5, 4, 6, 1, 7, 8)",TRUE,11,584,TRUE,11,62,TRUE,11,46,TRUE,11,1577
"(5, 1, 2, 6, 7, 3, 4, 0, 8)",TRUE,11,755,TRUE,11,42,TRUE,11,23,TRUE,11,1566
"(4, 3, 0, 7, 1, 2, 5, 8, 6)",TRUE,12,785,TRUE,12,83,TRUE,12,63,TRUE,12,3187
"(0, 1, 5, 8, 3, 2, 4, 7, 6)",TRUE,12,1024,TRUE,12,64,TRUE,12,23,TRUE,12,3010
"(6, 5, 2, 1, 0, 3, 4, 7, 8)",TRUE,12,1177,TRUE,12,112,TRUE,12,33,TRUE,12,2721
"(4, 1, 0, 7, 6, 2, 5, 8, 3)",TRUE,12,903,TRUE,12,70,TRUE,12,39,TRUE,12,2185
"(2, 5, 0, 1, 3, 8, 4, 7, 6)",TRUE,12,1033,TRUE,12,74,TRUE,12,48,TRUE,12,3109
"(1, 2, 3, 5, 7, 4, 8, 6, 0)",TRUE,12,941,TRUE,12,102,TRUE,12,46,TRUE,12,3448
"(4, 1, 2, 7, 5, 6, 0, 3, 8)",TRUE,12,899,TRUE,12,86,TRUE,12,44,TRUE,12,2042
"(2, 3, 5, 1, 8, 6, 0, 4, 7)",TRUE,12,831,TRUE,12,70,TRUE,12,51,TRUE,12,3271
"(1, 5, 6, 4, 0, 3, 7, 2, 8)",TRUE,12,1163,TRUE,12,126,TRUE,12,77,TRUE,12,4193
"(3, 6, 0, 2, 1, 5, 4, 7, 8)",TRUE,12,809,TRUE,12,70,TRUE,12,41,TRUE,12,3419
"(5, 3, 2, 1, 0, 6, 4, 7, 8)",TRUE,12,1019,TRUE,12,79,TRUE,12,43,TRUE,12,2772
"(3, 6, 2, 1, 4, 8, 7, 5, 0)",TRUE,12,1027,TRUE,12,66,TRUE,12,46,TRUE,12,2226
"(4, 2, 0, 5, 1, 6, 7, 3, 8)",TRUE,12,992,TRUE,12,94,TRUE,12,55,TRUE,12,2877
"(2, 3, 5, 1, 7, 6, 8, 4, 0)",TRUE,12,1022,TRUE,12,71,TRUE,12,23,TRUE,12,2213
"(2, 4, 0, 7, 1, 3, 5, 8, 6)",TRUE,12,889,TRUE,12,77,TRUE,12,25,TRUE,12,2195
"(3, 6, 0, 2, 1, 4, 7, 5, 8)",TRUE,12,960,TRUE,12,75,TRUE,12,35,TRUE,12,3422
"(0, 1, 3, 4, 6, 8, 2, 7, 5)",TRUE,12,1027,TRUE,12,98,TRUE,12,39,TRUE,12,2226
